time,type,number,queueLength,totalPacketLoss
216.515,0,112,1,0
216.642,0,113,0,0
218.526,1,114,1,0
218.78,0,114,0,0
224.411,1,115,1,0
225.754,0,115,0,0
227.855,1,116,1,0
228.433,1,117,2,0
229.026,1,118,3,0
229.605,0,116,2,0
229.852,1,119,3,0
230.096,0,117,2,0
230.406,0,118,1,0
230.919,0,119,0,0
231.35,1,120,1,0
231.444,1,121,2,0
232.142,1,122,3,0
233.145,1,123,4,0
233.398,0,120,3,0
233.77,0,121,2,0
234.787,1,124,3,0
235.499,0,122,2,0
235.595,0,123,1,0
235.899,0,124,0,0
236.077,1,125,1,0
238.567,0,125,0,0
243.751,1,126,1,0
244.154,0,126,0,0
248.398,1,127,1,0
248.673,0,127,0,0
249.332,1,128,1,0
250.556,1,129,2,0
250.728,0,128,1,0
251.277,0,129,0,0
255.174,1,130,1,0
256.009,0,130,0,0
262.218,1,131,1,0
262.655,0,131,0,0
263.348,1,132,1,0
263.545,0,132,0,0
263.833,1,133,1,0
264.244,0,133,0,0
265.044,1,134,1,0
265.09,0,134,0,0
267.348,1,135,1,0
267.412,0,135,0,0
268.951,1,136,1,0
269.331,0,136,0,0
269.575,1,137,1,0
269.705,1,138,2,0
270.27,0,137,1,0
271.578,0,138,0,0
276.399,1,139,1,0
276.729,1,140,2,0
278.041,0,139,1,0
279.171,1,141,2,0
279.35,0,140,1,0
280.312,0,141,0,0
282.868,1,142,1,0
284.174,1,143,2,0
285.672,1,144,3,0
285.731,1,145,4,0
285.979,0,142,3,0
286.028,0,143,2,0
286.927,0,144,1,0
287.442,0,145,0,0
287.602,1,146,1,0
288.404,1,147,2,0
289.148,1,148,3,0
289.95,0,146,2,0
291.275,0,147,1,0
291.378,0,148,0,0
293.009,1,149,1,0
293.426,0,149,0,0
294.037,1,150,1,0
296.023,1,151,2,0
298.248,0,150,1,0
298.822,0,151,0,0
299.59,1,152,1,0
299.713,1,153,2,0
300.003,1,154,3,0
301.157,0,152,2,0
301.573,1,155,3,0
303.823,0,153,2,0
304.317,0,154,1,0
304.852,0,155,0,0
305.897,1,156,1,0
306.573,1,157,2,0
306.801,1,158,3,0
307.841,0,156,2,0
308.52,1,159,3,0
308.827,1,160,4,0
309.344,0,157,3,0
310.723,0,158,2,0
311.251,0,159,1,0
311.895,0,160,0,0
312.135,1,161,1,0
312.557,0,161,0,0
313.213,1,162,1,0
313.237,0,162,0,0
314.705,1,163,1,0
315.244,1,164,2,0
315.971,0,163,1,0
317.485,0,164,0,0
317.618,1,165,1,0
317.877,1,166,2,0
318.803,1,167,3,0
319.056,0,165,2,0
320.509,0,166,1,0
320.851,0,167,0,0
324.072,1,168,1,0
325.189,1,169,2,0
325.267,1,170,3,0
327.091,1,171,4,0
327.122,1,172,5,0
328.186,0,168,4,0
328.326,0,169,3,0
328.795,0,170,2,0
329.041,0,171,1,0
329.903,0,172,0,0
329.949,1,173,1,0
330.18,0,173,0,0
333.042,1,174,1,0
334.258,1,175,2,0
334.422,0,174,1,0
334.929,1,176,2,0
336.125,1,177,3,0
336.321,0,175,2,0
336.883,0,176,1,0
337.285,0,177,0,0
339.729,1,178,1,0
340.301,1,179,2,0
341.184,1,180,3,0
342.266,1,181,4,0
342.742,0,178,3,0
343.64,1,182,4,0
344.907,0,179,3,0
345.297,1,183,4,0
346.064,0,180,3,0
346.266,0,181,2,0
347.104,0,182,1,0
347.135,0,183,0,0
352.166,1,184,1,0
352.394,0,184,0,0
352.509,1,185,1,0
352.966,1,186,2,0
353.302,0,185,1,0
353.372,0,186,0,0
353.44,1,187,1,0
353.655,0,187,0,0
358.076,1,188,1,0
358.797,1,189,2,0
359.6,0,188,1,0
359.893,1,190,2,0
363.083,1,191,3,0
364.064,1,192,4,0
364.158,0,189,3,0
364.413,0,190,2,0
364.465,1,193,3,0
365.75,0,191,2,0
365.99,1,194,3,0
366.441,1,195,4,0
366.843,0,192,3,0
367.679,0,193,2,0
367.707,1,196,3,0
367.781,0,194,2,0
367.799,0,195,1,0
368.355,1,197,2,0
368.628,0,196,1,0
368.701,0,197,0,0
372.715,1,198,1,0
372.779,0,198,0,0
373.299,1,199,1,0
373.666,0,199,0,0
377.838,1,200,1,0
377.982,0,200,0,0
383.74,1,201,1,0
383.903,1,202,2,0
384.301,0,201,1,0
384.888,0,202,0,0
386.965,1,203,1,0
387.512,0,203,0,0
389.385,1,204,1,0
389.596,0,204,0,0
389.655,1,205,1,0
389.94,0,205,0,0
391.801,1,206,1,0
391.949,0,206,0,0
392.58,1,207,1,0
392.608,1,208,2,0
394.309,0,207,1,0
394.781,0,208,0,0
397.754,1,209,1,0
398.36,1,210,2,0
398.627,0,209,1,0
399.428,1,211,2,0
399.791,0,210,1,0
399.979,0,211,0,0
402.231,1,212,1,0
402.369,0,212,0,0
402.577,1,213,1,0
402.924,0,213,0,0
406.475,1,214,1,0
406.802,0,214,0,0
408.807,1,215,1,0
410.633,0,215,0,0
412.182,1,216,1,0
412.232,0,216,0,0
412.334,1,217,1,0
412.897,0,217,0,0
415.105,1,218,1,0
415.27,0,218,0,0
416.168,1,219,1,0
416.276,0,219,0,0
419.031,1,220,1,0
420.058,0,220,0,0
421.687,1,221,1,0
421.897,1,222,2,0
422.479,0,221,1,0
423.232,0,222,0,0
424.533,1,223,1,0
425.208,1,224,2,0
425.266,0,223,1,0
425.821,0,224,0,0
431.095,1,225,1,0
431.777,0,225,0,0
433.52,1,226,1,0
433.818,0,226,0,0
436.856,1,227,1,0
436.858,1,228,2,0
437.085,1,229,3,0
437.723,1,230,4,0
