time,type,number,queueLength,totalPacketLength
1.0099,1,1,1,0
1.88176,1,2,2,0
2.84552,0,1,1,0
3.06505,1,3,2,0
3.22926,0,2,1,0
3.24497,0,3,0,0
7.41569,1,4,1,0
7.7629,1,5,2,0
8.29298,0,4,1,0
8.73099,1,6,2,0
8.85231,1,7,2,1
9.46741,0,5,1,1
9.64599,0,6,0,1
13.4546,1,8,1,1
13.6278,0,8,0,1
14.9777,1,9,1,1
15.9044,0,9,0,1
16.7256,1,10,1,1
17.0403,0,10,0,1
17.7158,1,11,1,1
18.063,0,11,0,1
20.4283,1,12,1,1
20.5854,1,13,2,1
20.7828,0,12,1,1
21.6237,1,14,2,1
22.7304,0,13,1,1
23.8176,0,14,0,1
27.3172,1,15,1,1
27.3227,1,16,2,1
28.5639,1,17,2,2
29.1911,0,15,1,2
30.0851,1,18,2,2
30.7025,1,19,2,3
30.7417,0,16,1,3
31.1081,0,18,0,3
38.8227,1,20,1,3
39.7411,0,20,0,3
40.6993,1,21,1,3
40.9381,0,21,0,3
45.0406,1,22,1,3
45.37,1,23,2,3
45.4039,0,22,1,3
45.8941,0,23,0,3
46.1939,1,24,1,3
47.2257,0,24,0,3
48.9952,1,25,1,3
49.9205,0,25,0,3
50.5122,1,26,1,3
51.1272,0,26,0,3
52.6261,1,27,1,3
53.0223,0,27,0,3
58.4774,1,28,1,3
58.9363,0,28,0,3
64.2383,1,29,1,3
64.2457,0,29,0,3
65.6921,1,30,1,3
65.7413,1,31,2,3
66.0106,0,30,1,3
66.24,0,31,0,3
67.534,1,32,1,3
67.6565,1,33,2,3
68.2609,1,34,2,4
68.9824,1,35,2,5
69.6353,0,32,1,5
70.3248,0,33,0,5
73.4243,1,36,1,5
74.0992,1,37,2,5
74.6623,0,36,1,5
75.7879,0,37,0,5
78.103,1,38,1,5
78.7164,0,38,0,5
84.5227,1,39,1,5
85.4676,1,40,2,5
85.9868,1,41,2,6
86.0129,0,39,1,6
86.37,0,40,0,6
86.8624,1,42,1,6
87.9704,0,42,0,6
89.401,1,43,1,6
90.2356,0,43,0,6
92.8808,1,44,1,6
93.3761,0,44,0,6
96.2967,1,45,1,6
96.6948,1,46,2,6
98.1547,0,45,1,6
98.7079,0,46,0,6
102.438,1,47,1,6
102.574,1,48,2,6
103.173,0,47,1,6
105.316,0,48,0,6
107.469,1,49,1,6
108.487,1,50,2,6
108.902,0,49,1,6
110.336,0,50,0,6
110.819,1,51,1,6
111.086,1,52,2,6
111.338,0,51,1,6
111.589,0,52,0,6
112.412,1,53,1,6
113.917,1,54,2,6
113.92,1,55,2,7
114.476,0,53,1,7
