time,type,number,queueLength,totalPacketLength
1.26238,1,1,1,0
2.3522,1,2,2,0
3.098,0,1,1,0
3.48174,0,2,0,0
3.83131,1,3,1,0
3.87057,1,4,2,0
6.00663,0,3,1,0
6.06379,1,5,2,0
6.18023,0,4,1,0
7.27391,1,6,2,0
7.35466,0,5,1,0
7.42556,1,7,2,0
7.87202,1,8,3,0
8.30514,1,9,4,0
9.65579,0,6,3,0
10.2091,1,10,4,0
10.5825,0,7,3,0
10.8972,0,8,2,0
11.3922,0,9,1,0
11.7395,0,10,0,0
12.3939,1,11,1,0
13.2804,1,12,2,0
13.4767,1,13,3,0
13.7502,0,11,2,0
14.7746,1,14,3,0
15.6977,0,12,2,0
16.7849,0,13,1,0
18.6588,0,14,0,0
21.8915,1,15,1,0
21.8943,0,15,0,0
23.443,1,16,1,0
24.2036,0,16,0,0
27.3195,1,17,1,0
27.6282,0,17,0,0
37.4697,1,18,1,0
37.8361,0,18,0,0
39.7658,1,19,1,0
40.3628,1,20,2,0
40.7041,0,19,1,0
41.0674,0,20,0,0
45.7894,1,21,1,0
45.9541,0,21,0,0
46.8194,1,22,1,0
47.3095,0,22,0,0
49.3987,1,23,1,0
50.7993,0,23,0,0
51.7121,1,24,1,0
52.4706,0,24,0,0
53.2496,1,25,1,0
54.2403,1,26,2,0
54.3066,0,25,1,0
54.7655,0,26,0,0
61.5544,1,27,1,0
61.5731,1,28,2,0
63.3904,1,29,3,0
64.1866,1,30,4,0
64.2481,1,31,5,0
64.4349,0,27,4,0
64.6643,0,28,3,0
66.4891,1,32,4,0
66.6421,1,33,5,0
66.7655,0,29,4,0
67.1262,0,30,3,0
67.3977,1,34,4,0
69.1216,1,35,5,0
69.3472,0,31,4,0
69.6846,0,32,3,0
71.6865,0,33,2,0
72.2165,1,36,3,0
72.8121,0,34,2,0
73.75,1,37,3,0
76.0219,0,35,2,0
76.4944,0,36,1,0
76.754,0,37,0,0
77.4755,1,38,1,0
77.9133,0,38,0,0
78.3683,1,39,1,0
79.4763,0,39,0,0
81.5415,1,40,1,0
82.3761,0,40,0,0
85.8913,1,41,1,0
86.3866,0,41,0,0
90.1613,1,42,1,0
90.6588,1,43,2,0
92.0192,0,42,1,0
92.5724,0,43,0,0
97.838,1,44,1,0
98.0077,1,45,2,0
98.5733,0,44,1,0
100.715,0,45,0,0
104.127,1,46,1,0
105.4,1,47,2,0
105.56,0,46,1,0
106.993,0,47,0,0
108.314,1,48,1,0
108.648,1,49,2,0
108.833,0,48,1,0
109.084,0,49,0,0
110.305,1,50,1,0
112.187,1,51,2,0
112.19,1,52,3,0
112.37,0,50,2,0
112.389,0,51,1,0
114.075,0,52,0,0
117.115,1,53,1,0
117.393,0,53,0,0
118.059,1,54,1,0
121.432,0,54,0,0
124.914,1,55,1,0
126.572,0,55,0,0
126.608,1,56,1,0
126.856,0,56,0,0
128.755,1,57,1,0
129.096,0,57,0,0
129.723,1,58,1,0
130.026,0,58,0,0
130.201,1,59,1,0
130.203,0,59,0,0
130.315,1,60,1,0
130.591,0,60,0,0
131.658,1,61,1,0
132.285,1,62,2,0
132.867,0,61,1,0
132.936,0,62,0,0
134.037,1,63,1,0
134.536,0,63,0,0
135.669,1,64,1,0
135.915,0,64,0,0
136.289,1,65,1,0
137.367,1,66,2,0
137.902,1,67,3,0
138.495,1,68,4,0
138.768,0,65,3,0
138.823,0,66,2,0
140.353,0,67,1,0
140.384,0,68,0,0
141.006,1,69,1,0
141.491,1,70,2,0
141.593,0,69,1,0
143.997,0,70,0,0
148.218,1,71,1,0
148.859,0,71,0,0
153.352,1,72,1,0
154.541,0,72,0,0
160.007,1,73,1,0
160.614,0,73,0,0
161.278,1,74,1,0
163.515,0,74,0,0
164.234,1,75,1,0
166.059,0,75,0,0
167.599,1,76,1,0
168.653,0,76,0,0
170.433,1,77,1,0
171.231,1,78,2,0
171.294,0,77,1,0
172.379,0,78,0,0
178.079,1,79,1,0
178.128,0,79,0,0
179.246,1,80,1,0
179.649,1,81,2,0
180.209,0,80,1,0
180.833,1,82,2,0
180.898,1,83,3,0
181.244,0,81,2,0
181.324,0,82,1,0
182.681,0,83,0,0
185.501,1,84,1,0
185.797,0,84,0,0
191.304,1,85,1,0
191.778,0,85,0,0
192.267,1,86,1,0
192.504,0,86,0,0
194.881,1,87,1,0
195.17,0,87,0,0
195.53,1,88,1,0
195.819,0,88,0,0
202.701,1,89,1,0
202.848,0,89,0,0
203.488,1,90,1,0
204.284,0,90,0,0
204.467,1,91,1,0
205.347,1,92,2,0
206.47,0,91,1,0
208.196,1,93,2,0
208.261,0,92,1,0
209.31,0,93,0,0
213.421,1,94,1,0
213.497,0,94,0,0
219.141,1,95,1,0
219.434,0,95,0,0
221.504,1,96,1,0
223.348,0,96,0,0
225.964,1,97,1,0
226.43,0,97,0,0
229.501,1,98,1,0
229.617,0,98,0,0
234.257,1,99,1,0
235.077,0,99,0,0
239.13,1,100,1,0
239.55,0,100,0,0
242.072,1,101,1,0
242.495,0,101,0,0
247.673,1,102,1,0
247.997,1,103,2,0
250.86,0,102,1,0
250.917,0,103,0,0
257.978,1,104,1,0
258.076,1,105,2,0
258.932,0,104,1,0
259.257,1,106,2,0
259.678,0,105,1,0
