time,type,number,queueLength,totalPacketLoss
2.52475,1,1,1,0
4.36037,0,1,0,0
4.7044,1,2,1,0
5.29604,0,2,0,0
6.62311,1,3,1,0
6.70163,1,4,2,0
8.79843,0,3,1,0
8.97203,0,4,0,0
11.0881,1,5,1,0
11.5721,0,5,0,0
16.9602,1,6,1,0
17.0209,0,6,0,0
28.4659,1,7,1,0
28.6444,0,7,0,0
29.3321,1,8,1,0
30.0937,0,8,0,0
33.9656,1,9,1,0
34.8396,0,9,0,0
35.539,1,10,1,0
36.0341,0,10,0,0
37.2754,1,11,1,0
38.6317,0,11,0,0
39.0483,1,12,1,0
39.1268,0,12,0,0
41.6441,1,13,1,0
43.5917,0,13,0,0
55.8779,1,14,1,0
56.9651,0,14,0,0
65.2474,1,15,1,0
65.2502,0,15,0,0
68.3504,1,16,1,0
69.111,0,16,0,0
76.1034,1,17,1,0
76.4121,0,17,0,0
96.4037,1,18,1,0
96.7702,0,18,0,0
100.996,1,19,1,0
101.934,0,19,0,0
102.19,1,20,1,0
104.007,1,21,2,0
104.361,0,20,1,0
104.773,0,21,0,0
104.83,1,22,1,0
105.32,0,22,0,0
109.989,1,23,1,0
111.39,0,23,0,0
114.616,1,24,1,0
115.374,0,24,0,0
117.691,1,25,1,0
118.748,0,25,0,0
119.672,1,26,1,0
121.967,1,27,2,0
122.598,0,26,1,0
122.605,0,27,0,0
136.369,1,28,1,0
137.096,0,28,0,0
137.962,1,29,1,0
137.986,0,29,0,0
142.444,1,30,1,0
142.673,0,30,0,0
152.95,1,31,1,0
153.011,0,31,0,0
154.461,1,32,1,0
154.822,0,32,0,0
165.566,1,33,1,0
166.255,0,33,0,0
171.755,1,34,1,0
172.093,0,34,0,0
181.765,1,35,1,0
182.891,0,35,0,0
184.832,1,36,1,0
188.042,0,36,0,0
192.283,1,37,1,0
192.756,0,37,0,0
193.581,1,38,1,0
194.019,0,38,0,0
195.367,1,39,1,0
196.475,0,39,0,0
201.713,1,40,1,0
202.548,0,40,0,0
210.413,1,41,1,0
210.908,0,41,0,0
218.953,1,42,1,0
219.948,1,43,2,0
220.811,0,42,1,0
221.364,0,43,0,0
234.306,1,44,1,0
234.646,1,45,2,0
235.041,0,44,1,0
237.183,0,45,0,0
246.884,1,46,1,0
248.317,0,46,0,0
249.429,1,47,1,0
250.595,0,47,0,0
256.597,1,48,1,0
257.116,0,48,0,0
257.266,1,49,1,0
257.929,0,49,0,0
258.524,1,50,1,0
260.589,0,50,0,0
262.287,1,51,1,0
262.288,0,51,0,0
272.136,1,52,1,0
272.155,0,52,0,0
280.57,1,53,1,0
280.848,0,53,0,0
282.459,1,54,1,0
285.832,0,54,0,0
296.169,1,55,1,0
297.826,0,55,0,0
299.556,1,56,1,0
299.805,0,56,0,0
303.85,1,57,1,0
304.192,0,57,0,0
305.787,1,58,1,0
306.089,0,58,0,0
306.742,1,59,1,0
306.744,0,59,0,0
306.971,1,60,1,0
307.247,0,60,0,0
309.656,1,61,1,0
310.865,0,61,0,0
310.91,1,62,1,0
311.257,1,63,2,0
311.611,0,62,1,0
312.264,0,63,0,0
313.754,1,64,1,0
314,0,64,0,0
314.993,1,65,1,0
317.148,1,66,2,0
317.472,0,65,1,0
317.709,0,66,0,0
318.219,1,67,1,0
318.494,1,68,2,0
319.223,0,67,1,0
319.254,0,68,0,0
326.143,1,69,1,0
326.73,0,69,0,0
327.113,1,70,1,0
329.804,0,70,0,0
339.133,1,71,1,0
339.774,0,71,0,0
349.4,1,72,1,0
350.589,0,72,0,0
362.71,1,73,1,0
363.317,0,73,0,0
365.252,1,74,1,0
367.49,0,74,0,0
371.166,1,75,1,0
372.99,0,75,0,0
377.895,1,76,1,0
378.949,0,76,0,0
383.564,1,77,1,0
384.425,0,77,0,0
385.159,1,78,1,0
387.898,0,78,0,0
390.581,1,79,1,0
390.63,0,79,0,0
392.916,1,80,1,0
393.72,1,81,2,0
393.878,0,80,1,0
394.913,0,81,0,0
396.089,1,82,1,0
396.115,0,82,0,0
405.295,1,83,1,0
405.375,0,83,0,0
412.081,1,84,1,0
412.377,0,84,0,0
423.687,1,85,1,0
424.161,0,85,0,0
425.612,1,86,1,0
425.85,0,86,0,0
430.84,1,87,1,0
431.13,0,87,0,0
432.138,1,88,1,0
432.427,0,88,0,0
446.481,1,89,1,0
446.628,0,89,0,0
448.055,1,90,1,0
448.851,0,90,0,0
450.013,1,91,1,0
451.773,1,92,2,0
452.016,0,91,1,0
453.807,0,92,0,0
457.471,1,93,1,0
459.561,0,93,0,0
462.715,1,94,1,0
462.791,0,94,0,0
474.156,1,95,1,0
474.449,0,95,0,0
478.881,1,96,1,0
480.726,0,96,0,0
487.801,1,97,1,0
488.267,0,97,0,0
494.875,1,98,1,0
494.991,0,98,0,0
504.388,1,99,1,0
505.207,0,99,0,0
514.133,1,100,1,0
514.553,0,100,0,0
520.017,1,101,1,0
520.441,0,101,0,0
531.219,1,102,1,0
531.868,1,103,2,0
534.406,0,102,1,0
534.463,0,103,0,0
551.83,1,104,1,0
552.025,1,105,2,0
552.784,0,104,1,0
553.53,0,105,0,0
554.387,1,106,1,0
554.718,0,106,0,0
558.498,1,107,1,0
559.432,0,107,0,0
566.974,1,108,1,0
567.111,1,109,2,0
567.565,0,108,1,0
567.901,0,109,0,0
570.303,1,110,1,0
570.649,0,110,0,0
571.392,1,111,1,0
571.409,0,111,0,0
580.24,1,112,1,0
580.793,1,113,2,0
581.091,0,112,1,0
581.218,0,113,0,0
587.395,1,114,1,0
587.649,0,114,0,0
602.107,1,115,1,0
603.45,0,115,0,0
610.718,1,116,1,0
612.163,1,117,2,0
612.468,0,116,1,0
612.881,0,117,0,0
613.645,1,118,1,0
614.137,0,118,0,0
617.392,1,119,1,0
617.702,0,119,0,0
619.956,1,120,1,0
620.191,1,121,2,0
621.936,1,122,2,1
622.003,0,120,1,1
622.824,0,121,0,1
624.442,1,123,1,1
624.814,0,123,0,1
633.088,1,124,1,1
633.566,1,125,2,1
633.734,0,124,1,1
635.088,1,126,2,1
636.223,0,125,1,1
636.627,0,126,0,1
654.272,1,127,1,1
655.648,1,128,2,1
656.595,0,127,1,1
657.983,1,129,2,1
657.991,0,128,1,1
660.299,0,129,0,1
661.044,1,130,1,1
661.594,0,130,0,1
665.217,1,131,1,1
667.401,1,132,2,1
668.739,0,131,1,1
668.936,0,132,0,1
