time,type,number,queueLength,totalPacketLoss
0.631189,1,1,1,0
1.1761,1,2,2,0
1.91565,1,3,2,1
2.39533,1,4,2,2
2.46681,0,1,1,2
2.48251,0,2,0,2
5.11448,1,5,1,2
5.33149,1,6,2,2
5.93655,1,7,2,3
5.99177,0,5,1,3
6.05243,0,6,0,3
7.40458,1,8,1,3
7.62781,1,9,2,3
7.84437,1,10,2,4
8.79633,1,11,2,5
9.70571,0,8,1,5
9.95471,1,12,2,5
10.348,1,13,2,6
10.5797,0,9,1,6
10.9269,0,12,0,6
10.9669,1,14,1,6
11.4101,1,15,2,6
11.5083,1,16,2,7
12.1572,1,17,2,8
12.3232,0,14,1,8
14.5917,1,18,2,8
15.1699,0,15,1,8
15.9507,1,19,2,8
15.9541,1,20,2,9
16.7299,1,21,2,10
17.0438,0,18,1,10
17.6806,1,22,2,10
18.0665,1,23,2,11
18.5944,0,19,1,11
18.9608,0,22,0,11
23.1415,1,24,1,11
24.06,0,24,0,11
24.3145,1,25,1,11
24.5533,0,25,0,11
27.0277,1,26,1,11
27.2336,1,27,2,11
27.3911,0,26,1,11
27.7486,1,28,2,11
27.8813,0,27,1,11
29.0383,1,29,2,11
29.2819,0,28,1,11
30.0404,0,29,0,11
30.195,1,30,1,11
30.81,0,30,0,11
31.5162,1,31,1,11
31.9125,0,31,0,11
35.1733,1,32,1,11
35.6322,0,32,0,11
38.7738,1,33,1,11
38.7813,0,33,0,11
39.6824,1,34,1,11
39.7132,1,35,2,11
40.001,0,34,1,11
40.2303,0,35,0,11
40.8337,1,36,1,11
40.9102,1,37,2,11
41.288,1,38,2,12
41.7389,1,39,2,13
42.9349,0,36,1,13
43.6244,0,37,0,13
44.5151,1,40,1,13
44.9369,1,41,2,13
45.753,0,40,1,13
46.8786,0,41,0,13
47.4393,1,42,1,13
48.0527,0,42,0,13
51.4516,1,43,1,13
52.0422,1,44,2,13
52.3667,1,45,2,14
52.9139,1,46,2,15
52.9418,0,43,1,15
53.3603,1,47,2,15
54.0497,0,44,1,15
54.8843,0,47,0,15
54.9469,1,48,1,15
55.566,1,49,2,15
56.6868,0,48,1,15
57.701,1,50,2,15
57.9498,1,51,2,16
58.5448,0,49,1,16
59.098,0,50,0,16
61.5394,1,52,1,16
61.6242,1,53,2,16
62.2747,0,52,1,16
64.4168,0,53,0,16
64.6839,1,54,1,16
65.3202,1,55,2,16
66.1167,0,54,1,16
66.7771,1,56,2,16
67.4261,1,57,2,17
67.5503,0,55,1,17
67.5934,1,58,2,17
67.9079,1,59,2,18
68.2131,0,56,1,18
68.9657,0,58,0,18
70.4886,1,60,1,18
70.49,0,60,0,18
72.9508,1,61,1,18
72.9697,0,61,0,18
75.0593,1,62,1,18
75.3376,0,62,0,18
75.5315,1,63,1,18
78.905,0,63,0,18
78.959,1,64,1,18
79.8059,1,65,2,18
80.1167,1,66,2,19
80.6168,0,64,1,19
80.9579,0,65,0,19
81.1902,1,67,1,19
81.5689,1,68,2,19
81.5775,0,67,1,19
81.5793,0,68,0,19
81.8078,1,69,1,19
81.8536,0,69,0,19
82.1528,1,70,1,19
82.6897,0,70,0,19
83.6645,1,71,1,19
83.9154,0,71,0,19
84.5408,1,72,1,19
84.6102,0,72,0,19
85.1649,1,73,1,19
85.4725,1,74,2,19
85.7823,1,75,2,20
85.8179,0,73,1,20
86.249,0,74,0,20
88.8815,1,76,1,20
89.0956,0,76,0,20
89.1781,1,77,1,20
89.247,1,78,2,20
90.1824,0,77,1,20
90.2135,0,78,0,20
91.1591,1,79,1,20
91.4018,1,80,2,20
91.7463,0,79,1,20
94.1504,0,80,0,20
94.7654,1,81,1,20
95.4056,0,81,0,20
97.3321,1,82,1,20
98.5214,0,82,0,20
100.66,1,83,1,20
101.267,0,83,0,20
101.295,1,84,1,20
102.773,1,85,2,20
103.533,0,84,1,20
104.879,0,85,0,20
105.054,1,86,1,20
106.108,0,86,0,20
106.471,1,87,1,20
106.87,1,88,2,20
107.332,0,87,1,20
108.417,0,88,0,20
110.294,1,89,1,20
110.343,0,89,0,20
110.878,1,90,1,20
111.079,1,91,2,20
111.671,1,92,2,21
111.841,0,90,1,21
111.867,0,91,0,21
112.964,1,93,1,21
113.064,1,94,2,21
114.761,1,95,2,22
114.806,0,93,1,22
115.131,1,96,2,22
115.724,1,97,2,23
116.205,1,98,2,24
116.502,1,99,2,25
117.127,0,94,1,25
117.416,0,96,0,25
117.809,1,100,1,25
118.068,0,100,0,25
118.17,1,101,1,25
118.354,1,102,2,25
118.747,1,103,2,26
119.742,1,104,2,27
120.231,1,105,2,28
121.038,0,101,1,28
121.39,0,102,0,28
122.735,1,106,1,28
123.875,0,106,0,28
124.973,1,107,1,28
126.284,1,108,2,28
126.379,1,109,2,29
127.063,0,107,1,29
127.356,0,108,0,29
129.239,1,110,1,29
130.184,0,110,0,29
131.545,1,111,1,29
132.128,1,112,2,29
133.329,0,111,1,29
133.445,0,112,0,29
133.896,1,113,1,29
134.921,1,114,2,29
135.799,0,113,1,29
136.219,0,114,0,29
137.357,1,115,1,29
137.886,1,116,2,29
138.534,0,115,1,29
140.687,1,117,2,29
140.849,1,118,2,30
141.721,0,116,1,30
141.777,0,117,0,30
145.839,1,119,1,30
145.888,1,120,2,30
146.478,1,121,2,31
146.793,0,119,1,31
147.125,0,120,0,31
147.411,1,122,1,31
148.233,0,122,0,31
148.579,1,123,1,31
149.318,1,124,2,31
149.353,1,125,2,32
150.151,1,126,2,33
150.274,0,123,1,33
150.57,1,127,2,33
150.62,0,124,1,33
150.638,0,127,0,33
150.842,1,128,1,33
151.906,1,129,2,33
152.045,1,130,2,34
152.612,0,128,1,34
152.738,0,129,0,34
153.695,1,131,1,34
153.948,0,131,0,34
157.373,1,132,1,34
158.716,0,132,0,34
159.526,1,133,1,34
159.887,1,134,2,34
160.258,1,135,2,35
160.773,1,136,2,36
161.275,0,133,1,36
161.388,1,137,2,36
161.775,1,138,2,37
162.025,0,134,1,37
162.416,1,139,2,37
162.475,1,140,2,38
162.911,1,141,2,39
163.538,1,142,2,40
164.072,0,137,1,40
164.444,0,139,0,40
164.564,1,143,1,40
165.37,1,144,2,40
165.49,1,145,2,41
165.87,1,146,2,42
166.293,0,143,1,42
168.982,1,147,2,42
169.487,1,148,2,43
170.13,0,144,1,43
170.405,0,147,0,43
172.391,1,149,1,43
172.858,0,149,0,43
174.135,1,150,1,43
174.748,0,150,0,43
177.021,1,151,1,43
177.571,0,151,0,43
178.065,1,152,1,43
178.611,1,153,2,43
179.317,1,154,2,44
179.563,1,155,2,45
179.866,1,156,2,46
180.38,1,157,2,47
181.138,1,158,2,48
181.195,1,159,2,49
181.587,0,152,1,49
181.651,0,153,0,49
182.634,1,160,1,49
183.109,1,161,2,49
183.436,0,160,1,49
183.5,1,162,2,49
183.581,1,163,2,50
184.131,0,161,1,50
185.438,0,162,0,50
187.765,1,164,1,50
187.971,1,165,2,50
189.406,0,164,1,50
189.497,1,166,2,50
190.716,0,165,1,50
191.678,0,166,0,50
191.808,1,167,1,50
192.624,1,168,2,50
193.56,1,169,2,51
193.597,1,170,2,52
194.767,1,171,2,53
194.827,1,172,2,54
194.919,0,167,1,54
195.434,0,168,0,54
195.95,1,173,1,54
196.451,1,174,2,54
196.917,1,175,2,55
198.298,0,173,1,55
199.33,1,176,2,55
199.46,1,177,2,56
199.623,0,174,1,56
199.98,1,178,2,56
200.137,0,176,1,56
201.13,0,178,0,56
205.244,1,179,1,56
205.962,1,180,2,56
207.027,0,179,1,56
207.088,0,180,0,56
207.92,1,181,1,56
208.065,0,181,0,56
208.901,1,182,1,56
211.567,0,182,0,56
211.604,1,183,1,56
212.098,0,183,0,56
212.273,1,184,1,56
212.695,1,185,2,56
212.838,1,186,2,57
213.912,1,187,2,58
214.217,0,184,1,58
214.37,0,185,0,58
215.791,1,188,1,58
217.445,0,188,0,58
217.515,1,189,1,58
218.042,0,189,0,58
218.321,1,190,1,58
218.743,0,190,0,58
218.995,1,191,1,58
219.019,0,191,0,58
219.927,1,192,1,58
220.264,1,193,2,58
221.193,0,192,1,58
221.748,1,194,2,58
222.707,0,193,1,58
222.836,0,194,0,58
223.546,1,195,1,58
224.009,0,195,0,58
226.839,1,196,1,58
227.266,1,197,2,58
228.292,0,196,1,58
228.85,0,197,0,58
232.409,1,198,1,58
232.448,0,198,0,58
233.549,1,199,1,58
233.565,0,199,0,58
235.316,1,200,1,58
235.456,0,200,0,58
235.903,1,201,1,58
236.148,0,201,0,58
236.981,1,202,1,58
237.211,0,202,0,58
238.914,1,203,1,58
239.673,1,204,2,58
240.093,1,205,2,59
240.294,0,203,1,59
240.892,0,204,0,59
242.466,1,206,1,59
243.17,1,207,2,59
243.672,1,208,2,60
244.268,0,206,1,60
244.555,0,207,0,60
247.439,1,209,1,60
247.88,0,209,0,60
248.115,1,210,1,60
248.802,0,210,0,60
250.822,1,211,1,60
251.65,0,211,0,60
252.268,1,212,1,60
252.519,1,213,2,60
253.568,1,214,2,61
253.606,1,215,2,62
253.891,1,216,2,63
254.105,1,217,2,64
255.097,1,218,2,65
255.382,1,219,2,66
255.679,1,220,2,67
255.702,0,212,1,67
255.766,1,221,2,67
255.917,0,213,1,67
257.44,0,221,0,67
258.663,1,222,1,67
259.024,0,222,0,67
259.349,1,223,1,67
261.342,1,224,2,67
261.955,1,225,2,68
262.206,1,226,2,69
262.524,1,227,2,70
263.907,0,223,1,70
264.196,1,228,2,70
264.67,0,224,1,70
264.895,0,228,0,70
265.562,1,229,1,70
266.194,0,229,0,70
266.607,1,230,1,70
266.709,0,230,0,70
267.012,1,231,1,70
267.029,0,231,0,70
268.049,1,232,1,70
268.14,1,233,2,70
268.22,1,234,2,71
268.585,1,235,2,72
269.044,1,236,2,73
270.229,0,232,1,73
270.373,0,233,0,73
271.881,1,237,1,73
272.582,1,238,2,73
272.684,1,239,2,74
274.598,1,240,2,75
274.832,0,237,1,75
275.331,1,241,2,75
275.379,0,238,1,75
275.589,0,241,0,75
276.844,1,242,1,75
276.978,0,242,0,75
277.2,1,243,1,75
277.385,1,244,2,75
277.872,1,245,2,76
278.273,0,243,1,76
278.287,0,244,0,76
280.033,1,246,1,76
280.623,1,247,2,76
281.714,1,248,2,77
282.093,1,249,2,78
282.606,0,246,1,78
282.76,1,250,2,78
283.77,0,247,1,78
283.958,0,250,0,78
284.512,1,251,1,78
284.65,0,251,0,78
284.728,1,252,1,78
285.074,0,252,0,78
287.164,1,253,1,78
287.491,0,253,0,78
288.622,1,254,1,78
290.448,0,254,0,78
290.731,1,255,1,78
290.781,0,255,0,78
290.826,1,256,1,78
291.39,0,256,0,78
292.558,1,257,1,78
292.723,0,257,0,78
293.222,1,258,1,78
293.33,0,258,0,78
295.012,1,259,1,78
296.039,0,259,0,78
296.672,1,260,1,78
296.803,1,261,2,78
297.464,0,260,1,78
298.217,0,261,0,78
298.451,1,262,1,78
298.872,1,263,2,78
299.183,0,262,1,78
299.739,0,263,0,78
302.552,1,264,1,78
303.234,0,264,0,78
304.067,1,265,1,78
304.366,0,265,0,78
306.152,1,266,1,78
306.154,1,267,2,78
306.295,1,268,2,79
306.694,1,269,2,80
308.276,0,266,1,80
308.724,0,267,0,80
311.862,1,270,1,80
313.559,0,270,0,80
314.278,1,271,1,80
314.62,0,271,0,80
323.745,1,272,1,80
323.754,0,272,0,80
323.827,1,273,1,80
325.264,1,274,2,80
325.713,1,275,2,81
327.26,0,273,1,81
327.328,1,276,2,81
328.637,1,277,2,82
329.831,0,274,1,82
330.599,0,276,0,82
331.73,1,278,1,82
332.062,1,279,2,82
332.74,1,280,2,83
333.83,1,281,2,84
335.488,0,278,1,84
335.711,0,279,0,84
335.724,1,282,1,84
335.897,1,283,2,84
338.037,0,282,1,84
339.198,1,284,2,84
339.485,0,283,1,84
340.014,1,285,2,84
340.03,1,286,2,85
340.298,0,284,1,85
340.635,1,287,2,85
340.772,0,285,1,85
341.557,0,287,0,85
342.265,1,288,1,85
343.378,1,289,2,85
343.396,0,288,1,85
343.511,0,289,0,85
343.794,1,290,1,85
344.149,0,290,0,85
344.734,1,291,1,85
345.453,1,292,2,85
347.088,0,291,1,85
347.353,0,292,0,85
349.227,1,293,1,85
349.961,0,293,0,85
350.426,1,294,1,85
350.634,0,294,0,85
355.27,1,295,1,85
355.488,1,296,2,85
355.969,0,295,1,85
356.183,0,296,0,85
356.457,1,297,1,85
356.744,0,297,0,85
356.958,1,298,1,85
357.122,0,298,0,85
358.176,1,299,1,85
358.414,0,299,0,85
361.775,1,300,1,85
362.076,1,301,2,85
362.748,0,300,1,85
362.878,1,302,2,85
363.606,1,303,2,86
363.764,1,304,2,87
364.598,0,301,1,87
365.72,0,302,0,87
366.928,1,305,1,87
367.108,0,305,0,87
368.82,1,306,1,87
369.076,1,307,2,87
370.057,0,306,1,87
370.299,0,307,0,87
370.95,1,308,1,87
371.244,0,308,0,87
372.309,1,309,1,87
375.544,0,309,0,87
375.87,1,310,1,87
377.52,0,310,0,87
377.865,1,311,1,87
379.37,1,312,2,87
380.735,1,313,2,88
380.892,1,314,2,89
382.167,0,311,1,89
382.336,0,312,0,89
382.355,1,315,1,89
382.752,0,315,0,89
383.105,1,316,1,89
383.635,0,316,0,89
383.99,1,317,1,89
385.863,0,317,0,89
386.168,1,318,1,89
387.009,0,318,0,89
387.64,1,319,1,89
387.791,0,319,0,89
389.989,1,320,1,89
390.28,1,321,2,89
390.367,1,322,2,90
391.09,1,323,2,91
391.197,0,320,1,91
391.556,0,321,0,91
393.42,1,324,1,91
393.834,0,324,0,91
394.384,1,325,1,91
394.417,0,325,0,91
397.02,1,326,1,91
397.221,0,326,0,91
401.203,1,327,1,91
401.939,1,328,2,91
402.503,0,327,1,91
403.187,0,328,0,91
403.946,1,329,1,91
404.154,1,330,2,91
404.348,0,329,1,91
404.944,0,330,0,91
405.825,1,331,1,91
406.256,0,331,0,91
407.029,1,332,1,91
407.214,1,333,2,91
408.991,1,334,2,92
409.049,1,335,2,93
409.868,0,332,1,93
410.153,1,336,2,93
410.165,1,337,2,94
410.939,0,333,1,94
411.349,0,336,0,94
414.422,1,338,1,94
415.605,1,339,2,94
415.62,1,340,2,95
416.284,0,338,1,95
417,0,339,0,95
418.011,1,341,1,95
418.278,0,341,0,95
419.399,1,342,1,95
419.476,1,343,2,95
421.019,0,342,1,95
421.262,1,344,2,95
421.983,0,343,1,95
422.432,0,344,0,95
424.484,1,345,1,95
424.712,0,345,0,95
424.977,1,346,1,95
425.789,0,346,0,95
427.57,1,347,1,95
427.609,1,348,2,95
428.258,1,349,2,96
430.078,1,350,2,97
430.529,0,347,1,97
431.434,1,351,2,97
432.558,0,348,1,97
433.4,0,351,0,97
433.409,1,352,1,97
434.294,0,352,0,97
434.48,1,353,1,97
434.892,1,354,2,97
435.332,0,353,1,97
435.875,0,354,0,97
436.621,1,355,1,97
436.622,1,356,2,97
436.852,1,357,2,98
437.816,1,358,2,99
438.237,0,355,1,99
440.79,0,356,0,99
441.993,1,359,1,99
442.097,0,359,0,99
