time,type,number,queueLength,totalPacketLoss
1.26238,1,1,1,0
2.3522,1,2,2,0
3.098,0,1,1,0
3.48174,0,2,0,0
3.83131,1,3,1,0
3.87057,1,4,2,0
6.00663,0,3,1,0
6.06379,1,5,2,0
6.18023,0,4,1,0
7.27391,1,6,2,0
7.35466,0,5,1,0
7.42556,1,7,2,0
7.87202,1,8,2,1
8.30514,1,9,2,2
9.65579,0,6,1,2
10.2091,1,10,2,2
10.5825,0,7,1,2
10.8972,0,10,0,2
12.3939,1,11,1,2
12.889,0,11,0,2
13.2622,1,12,1,2
14.1486,1,13,2,2
14.3449,1,14,2,3
14.6184,0,12,1,3
15.6429,1,15,2,3
16.566,0,13,1,3
17.6531,0,15,0,3
22.7598,1,16,1,3
22.7667,1,17,2,3
24.3182,1,18,2,4
24.6337,0,16,1,4
26.1843,0,17,0,4
26.2196,1,19,1,4
26.5283,0,19,0,4
36.3698,1,20,1,4
36.7362,0,20,0,4
38.6658,1,21,1,4
39.2629,1,22,2,4
39.6042,0,21,1,4
39.9675,0,22,0,4
44.6895,1,23,1,4
44.8542,0,23,0,4
45.7194,1,24,1,4
46.2096,0,24,0,4
48.2987,1,25,1,4
49.6993,0,25,0,4
50.6122,1,26,1,4
51.3707,0,26,0,4
52.1497,1,27,1,4
53.1404,1,28,2,4
53.2066,0,27,1,4
53.6656,0,28,0,4
60.4545,1,29,1,4
60.4731,1,30,2,4
62.2904,1,31,2,5
63.0867,1,32,2,6
63.1482,1,33,2,7
63.335,0,29,1,7
63.5643,0,30,0,7
65.3891,1,34,1,7
65.5422,1,35,2,7
66.2978,1,36,2,8
67.1996,1,37,2,9
67.4904,0,34,1,9
68.1799,0,35,0,9
72.752,1,38,1,9
73.5956,1,39,2,9
73.9899,0,38,1,9
75.1155,0,39,0,9
78.6004,1,40,1,9
79.2138,0,40,0,9
86.6249,1,41,1,9
87.8061,1,42,2,9
88.1151,0,41,1,9
88.4551,1,43,2,9
88.5529,0,42,1,9
89.348,1,44,2,9
89.6609,0,43,1,9
90.4955,0,44,0,9
92.5212,1,45,1,9
93.7594,1,46,2,9
94.2611,0,45,1,9
96.119,0,46,0,9
98.0293,1,47,1,9
98.2284,0,47,0,9
105.209,1,48,1,9
105.762,0,48,0,9
107.047,1,49,1,9
107.115,0,49,0,9
113.166,1,50,1,9
115.308,0,50,0,9
116.748,1,51,1,9
117.257,0,51,0,9
119.662,1,52,1,9
120.96,1,53,2,9
121.096,0,52,1,9
121.295,1,54,2,9
121.759,0,53,1,9
121.924,1,55,2,9
123.805,1,56,2,10
123.809,1,57,2,11
123.823,0,54,1,11
123.842,0,55,0,11
128.733,1,58,1,11
129.429,1,59,2,11
130.373,1,60,2,12
130.42,0,58,1,12
133.162,0,59,0,12
138.807,1,61,1,12
140.465,0,61,0,12
140.501,1,62,1,12
140.749,0,62,0,12
142.648,1,63,1,12
142.989,0,63,0,12
143.616,1,64,1,12
143.919,0,64,0,12
144.094,1,65,1,12
144.095,0,65,0,12
144.208,1,66,1,12
144.484,0,66,0,12
145.551,1,67,1,12
146.178,1,68,2,12
146.76,0,67,1,12
146.829,0,68,0,12
147.93,1,69,1,12
148.429,0,69,0,12
149.562,1,70,1,12
149.808,0,70,0,12
150.182,1,71,1,12
151.26,1,72,2,12
151.795,1,73,2,13
152.388,1,74,2,14
152.661,0,71,1,14
152.716,0,72,0,14
154.899,1,75,1,14
154.977,1,76,2,14
156.429,0,75,1,14
156.445,1,77,2,14
156.623,0,76,1,14
159.027,0,77,0,14
163.172,1,78,1,14
163.812,0,78,0,14
168.305,1,79,1,14
169.494,0,79,0,14
174.96,1,80,1,14
175.567,0,80,0,14
176.231,1,81,1,14
178.469,0,81,0,14
179.188,1,82,1,14
181.013,0,82,0,14
182.553,1,83,1,14
183.606,0,83,0,14
185.387,1,84,1,14
186.184,1,85,2,14
186.248,0,84,1,14
187.332,0,85,0,14
193.033,1,86,1,14
193.081,0,86,0,14
194.2,1,87,1,14
194.602,1,88,2,14
195.163,0,87,1,14
195.786,1,89,2,14
195.852,1,90,2,15
196.197,0,88,1,15
196.277,0,89,0,15
200.455,1,91,1,15
201.194,1,92,2,15
201.812,0,91,1,15
202.286,0,92,0,15
206.997,1,93,1,15
207.382,0,93,0,15
207.591,1,94,1,15
208.314,1,95,2,15
208.636,0,94,1,15
208.925,0,95,0,15
208.963,1,96,1,15
209.331,1,97,2,15
210.118,1,98,2,16
211.832,0,96,1,16
212.107,1,99,2,16
212.224,0,97,1,16
212.576,0,99,0,16
217.115,1,100,1,16
218.254,0,100,0,16
221.591,1,101,1,16
223.681,0,101,0,16
224.213,1,102,1,16
224.289,0,102,0,16
229.934,1,103,1,16
230.226,0,103,0,16
232.296,1,104,1,16
234.141,0,104,0,16
236.756,1,105,1,16
237.222,0,105,0,16
240.293,1,106,1,16
240.409,0,106,0,16
245.05,1,107,1,16
245.869,0,107,0,16
249.922,1,108,1,16
250.342,0,108,0,16
252.864,1,109,1,16
253.288,0,109,0,16
258.465,1,110,1,16
258.79,1,111,2,16
261.652,0,110,1,16
261.709,0,111,0,16
268.771,1,112,1,16
268.868,1,113,2,16
269.725,0,112,1,16
270.049,1,114,2,16
270.471,0,113,1,16
