time,type,number,queueLength,totalPacketLength
136.155,0,107,7,0
136.175,1,115,8,0
137.239,1,116,9,0
137.378,1,117,10,0
137.924,0,108,9,0
138.051,0,109,8,0
138.304,0,110,7,0
139.028,1,118,8,0
140.708,1,119,9,0
141.247,0,111,8,0
142.861,1,120,9,0
142.996,0,112,8,0
143.222,1,121,9,0
143.293,0,113,8,0
143.738,1,122,9,0
143.784,0,114,8,0
144.094,0,115,7,0
144.607,0,116,6,0
144.674,1,123,7,0
144.733,1,124,8,0
145.169,1,125,9,0
145.796,1,126,10,0
146.654,0,117,9,0
146.822,1,127,10,0
147.026,0,118,9,0
147.671,0,119,8,0
147.767,0,120,7,0
148.071,0,121,6,0
148.984,1,128,7,0
150.561,0,122,6,0
150.964,0,123,5,0
153.288,0,124,4,0
153.563,0,125,3,0
153.78,1,129,4,0
154.03,0,126,3,0
154.642,0,127,2,0
155.524,1,130,3,0
156.211,1,131,4,0
156.951,0,128,3,0
157.254,1,132,4,0
157.8,1,133,5,0
158.506,1,134,6,0
158.753,1,135,7,0
159.056,1,136,8,0
159.57,1,137,9,0
160.327,1,138,10,0
160.385,1,139,11,0
160.473,0,129,10,0
160.537,0,130,9,0
161.339,0,131,8,0
161.719,0,132,7,0
161.824,1,140,8,0
162.031,0,133,7,0
162.096,0,134,6,0
162.692,1,141,7,0
164.327,1,142,8,0
165.443,0,135,7,0
165.608,0,136,6,0
166.379,1,143,7,0
166.829,0,137,6,0
168.016,1,144,7,0
168.678,0,138,6,0
169.218,1,145,7,0
170.034,1,146,8,0
170.97,1,147,9,0
171.007,1,148,10,0
171.789,0,139,9,0
171.838,0,140,8,0
172.177,1,149,9,0
172.736,0,141,8,0
172.821,1,150,9,0
173.322,1,151,10,0
173.787,1,152,11,0
175.083,0,142,10,0
176.2,1,153,11,0
176.33,1,154,12,0
176.408,0,143,11,0
176.85,1,155,12,0
176.922,0,144,11,0
177.915,0,145,10,0
179.699,0,146,9,0
180.273,0,147,8,0
181.84,0,148,7,0
181.901,0,149,6,0
182.046,0,150,5,0
182.114,1,156,6,0
182.831,0,151,5,0
184.993,0,152,4,0
185.446,1,157,5,0
185.487,0,153,4,0
186.115,1,158,5,0
186.538,1,159,6,0
186.68,1,160,7,0
187.431,0,154,6,0
187.755,1,161,7,0
187.947,1,162,8,0
188.935,0,155,7,0
190.014,1,163,8,0
190.313,0,156,7,0
190.674,1,164,8,0
190.958,0,157,7,0
191.201,1,165,8,0
191.231,1,166,9,0
191.497,0,158,8,0
192.164,1,167,9,0
192.501,1,168,10,0
192.763,0,159,9,0
193.984,1,169,10,0
194.276,0,160,9,0
194.406,0,161,8,0
194.869,0,162,7,0
195.783,1,170,8,0
197.504,0,163,7,0
197.598,1,171,8,0
197.845,0,164,7,0
198.404,0,165,6,0
198.443,0,166,5,0
199.355,0,167,4,0
199.371,0,168,3,0
200.784,0,169,2,0
200.924,0,170,1,0
201.394,0,171,0,0
202.741,1,172,1,0
202.986,0,172,0,0
203.819,1,173,1,0
204.049,0,173,0,0
205.752,1,174,1,0
206.511,1,175,2,0
206.931,1,176,3,0
207.132,0,174,2,0
207.73,0,175,1,0
209.304,1,177,2,0
209.531,0,176,1,0
209.933,0,177,0,0
210.008,1,178,1,0
210.365,1,179,2,0
210.917,1,180,3,0
211.593,1,181,4,0
212.452,1,182,5,0
213.021,0,178,4,0
213.849,0,179,3,0
215.006,0,180,2,0
215.159,1,183,3,0
215.411,1,184,4,0
216.459,1,185,5,0
216.497,1,186,6,0
216.782,1,187,7,0
216.997,1,188,8,0
217.988,1,189,9,0
218.273,1,190,10,0
218.441,0,181,9,0
218.51,0,182,8,0
218.57,1,191,9,0
218.725,0,183,8,0
220.248,0,184,7,0
220.609,0,185,6,0
221.157,0,186,5,0
221.468,1,192,6,0
223.462,1,193,7,0
224.074,1,194,8,0
224.325,1,195,9,0
224.643,1,196,10,0
225.716,0,187,9,0
226.315,1,197,10,0
226.478,0,188,9,0
226.704,0,189,8,0
227.336,0,190,7,0
227.681,1,198,8,0
227.809,1,199,9,0
228.172,0,191,8,0
228.19,0,192,7,0
228.214,1,200,8,0
229.019,0,193,7,0
229.092,0,194,6,0
229.156,0,195,5,0
229.448,0,196,4,0
229.815,0,197,3,0
230.939,1,201,4,0
231.119,1,202,5,0
232.085,0,198,4,0
232.646,0,199,3,0
232.727,0,200,2,0
234.258,0,201,1,0
234.808,1,203,2,0
234.844,0,202,1,0
235.491,1,204,2,0
235.754,1,205,3,0
235.923,1,206,4,0
236.055,0,203,3,0
236.279,1,207,4,0
236.464,1,208,5,0
236.952,1,209,6,0
237.127,0,204,5,0
237.141,0,205,4,0
239.113,1,210,5,0
239.703,1,211,6,0
239.715,0,206,5,0
240.018,0,207,4,0
240.552,0,208,3,0
240.793,1,212,4,0
241.715,0,209,3,0
241.903,0,210,2,0
242.042,0,211,1,0
242.215,0,212,0,0
242.545,1,213,1,0
242.891,0,213,0,0
244.981,1,214,1,0
245.308,0,214,0,0
246.439,1,215,1,0
248.265,0,215,0,0
248.548,1,216,1,0
248.598,0,216,0,0
248.643,1,217,1,0
249.207,0,217,0,0
250.375,1,218,1,0
250.54,0,218,0,0
251.039,1,219,1,0
251.147,0,219,0,0
252.829,1,220,1,0
253.855,0,220,0,0
254.488,1,221,1,0
254.62,1,222,2,0
255.281,0,221,1,0
256.034,0,222,0,0
256.267,1,223,1,0
256.689,1,224,2,0
257,0,223,1,0
257.556,0,224,0,0
260.369,1,225,1,0
261.051,0,225,0,0
261.884,1,226,1,0
262.183,0,226,0,0
263.969,1,227,1,0
263.971,1,228,2,0
264.112,1,229,3,0
264.511,1,230,4,0
266.093,0,227,3,0
266.541,0,228,2,0
268.238,0,229,1,0
269.679,1,231,2,0
270.106,1,232,3,0
270.171,0,230,2,0
270.18,0,231,1,0
270.246,0,232,0,0
279.573,1,233,1,0
281.01,1,234,2,0
281.458,1,235,3,0
283.005,0,233,2,0
283.074,1,236,3,0
284.383,1,237,4,0
285.577,0,234,3,0
286.345,0,235,2,0
287.475,1,238,3,0
287.808,1,239,4,0
288.486,1,240,5,0
289.576,1,241,6,0
290.103,0,236,5,0
290.327,0,237,4,0
291.47,1,242,5,0
291.643,1,243,6,0
292.64,0,238,5,0
294.088,0,239,4,0
294.741,0,240,3,0
294.943,1,244,4,0
294.958,1,245,5,0
295.554,0,241,4,0
295.563,1,246,5,0
296.028,0,242,4,0
296.813,0,243,3,0
297.193,1,247,4,0
297.945,0,244,3,0
298.277,0,245,2,0
298.307,1,248,3,0
298.391,0,246,2,0
298.751,1,249,3,0
299.144,0,247,2,0
299.719,0,248,1,0
301.693,1,250,2,0
302.024,1,251,3,0
302.738,0,249,2,0
302.941,1,252,3,0
303.202,1,253,4,0
303.697,0,250,3,0
304.396,0,251,2,0
304.571,0,252,1,0
305.346,0,253,0,0
308.046,1,254,1,0
308.26,0,254,0,0
308.404,1,255,1,0
308.609,1,256,2,0
308.805,0,255,1,0
309.043,0,256,0,0
309.827,1,257,1,0
311.043,1,258,2,0
311.343,1,259,3,0
312.146,1,260,4,0
312.706,0,257,3,0
313.288,0,258,2,0
313.415,0,259,1,0
314.458,1,261,2,0
315.86,1,262,3,0
315.946,0,260,2,0
316.085,1,263,3,0
317.46,0,261,2,0
317.63,1,264,3,0
317.664,0,262,2,0
317.907,0,263,1,0
318.2,0,264,0,0
319.505,1,265,1,0
320.592,0,265,0,0
323.548,1,266,1,0
325.61,1,267,2,0
326.396,0,266,1,0
327.606,1,268,2,0
329.11,1,269,3,0
330.475,1,270,4,0
330.632,1,271,5,0
330.698,0,267,4,0
330.867,0,268,3,0
331.264,0,269,2,0
331.864,0,270,1,0
332.095,1,272,2,0
332.394,0,271,1,0
332.98,1,273,2,0
334.267,0,272,1,0
335.108,0,273,0,0
335.158,1,274,1,0
335.347,1,275,2,0
336.336,0,274,1,0
337.544,0,275,0,0
337.697,1,276,1,0
337.783,1,277,2,0
337.929,0,276,1,0
338.506,1,278,2,0
338.954,1,279,3,0
339.472,1,280,4,0
339.794,0,277,3,0
339.827,0,278,2,0
340.435,1,281,3,0
340.686,1,282,4,0
341.936,0,279,3,0
343.237,0,280,2,0
343.825,0,281,1,0
344.868,1,283,2,0
345.431,0,282,1,0
345.723,1,284,2,0
345.833,0,283,1,0
345.931,1,285,2,0
346.676,1,286,3,0
347.17,0,284,2,0
347.215,1,287,3,0
348.133,0,285,2,0
348.281,0,286,1,0
349.703,0,287,0,0
350.764,1,288,1,0
350.809,0,288,0,0
351.868,1,289,1,0
351.88,1,290,2,0
352.939,0,289,1,0
353.349,0,290,0,0
356.137,1,291,1,0
357.32,1,292,2,0
357.335,1,293,3,0
357.999,0,291,2,0
358.714,0,292,1,0
358.982,0,293,0,0
359.726,1,294,1,0
360.836,0,294,0,0
361.751,1,295,1,0
361.813,0,295,0,0
363.537,1,296,1,0
364.501,0,296,0,0
366.759,1,297,1,0
367.043,1,298,2,0
367.208,0,297,1,0
367.536,1,299,2,0
368.02,0,298,1,0
370.129,1,300,2,0
370.168,1,301,3,0
370.818,1,302,4,0
370.979,0,299,3,0
372.064,0,300,2,0
372.638,1,303,3,0
374.093,0,301,2,0
374.613,1,304,3,0
374.935,0,302,2,0
375.718,1,305,3,0
375.792,0,303,2,0
376.121,0,304,1,0
376.782,1,306,2,0
377.462,1,307,3,0
377.504,0,305,2,0
377.505,0,306,1,0
377.689,0,307,0,0
379.482,1,308,1,0
380.253,0,308,0,0
383.66,1,309,1,0
383.789,1,310,2,0
385.761,1,311,3,0
386.213,0,309,2,0
386.254,1,312,3,0
386.309,1,313,4,0
386.906,1,314,5,0
387.134,1,315,6,0
387.774,1,316,7,0
387.982,1,317,8,0
388.066,0,310,7,0
388.477,1,318,8,0
388.72,0,311,7,0
388.852,0,312,6,0
389.772,1,319,7,0
389.868,0,313,6,0
391.469,1,320,7,0
392.077,0,314,6,0
392.177,0,315,5,0
394.288,1,321,6,0
394.289,0,316,5,0
394.302,0,317,4,0
394.919,1,322,5,0
395.788,0,318,4,0
395.803,1,323,5,0
395.906,1,324,6,0
395.914,0,319,5,0
395.994,0,320,4,0
396.915,1,325,5,0
397.125,1,326,6,0
397.494,0,321,5,0
397.523,0,322,4,0
397.787,1,327,5,0
399.031,1,328,6,0
399.228,0,323,5,0
399.244,1,329,6,0
400.173,0,324,5,0
400.258,1,330,6,0
401.083,1,331,7,0
401.597,1,332,8,0
401.751,1,333,9,0
401.856,1,334,10,0
402.361,0,325,9,0
402.501,0,326,8,0
402.667,1,335,9,0
403.604,0,327,8,0
403.606,0,328,7,0
403.935,0,329,6,0
404.128,1,336,7,0
404.273,0,330,6,0
406.027,1,337,7,0
406.227,1,338,8,0
406.763,1,339,9,0
407.549,1,340,10,0
407.905,0,331,9,0
408.086,1,341,10,0
408.708,1,342,11,0
408.945,1,343,12,0
410.018,1,344,13,0
410.155,0,332,12,0
410.53,0,333,11,0
411.219,0,334,10,0
411.473,0,335,9,0
412.04,0,336,8,0
413.286,1,345,9,0
413.306,0,337,8,0
414.319,1,346,9,0
415.958,0,338,8,0
416.462,0,339,7,0
417.161,0,340,6,0
417.389,1,347,7,0
418.074,1,348,8,0
418.149,0,341,7,0
419.269,1,349,8,0
419.39,0,342,7,0
419.619,1,350,8,0
419.979,1,351,9,0
420.557,1,352,10,0
421.484,0,343,9,0
421.601,1,353,10,0
421.73,0,344,9,0
421.75,0,345,8,0
421.998,1,354,9,0
422.286,0,346,8,0
423.251,1,355,9,0
423.348,0,347,8,0
423.644,1,356,9,0
423.722,1,357,10,0
423.993,0,348,9,0
424.01,1,358,10,0
424.313,0,349,9,0
424.386,1,359,10,0
426.158,1,360,11,0
426.164,0,350,10,0
426.492,1,361,11,0
427.419,0,351,10,0
427.492,1,362,11,0
428.912,0,352,10,0
428.971,1,363,11,0
429.569,0,353,10,0
429.687,0,354,9,0
431.249,1,364,10,0
431.312,0,355,9,0
432.939,0,356,8,0
433.754,1,365,9,0
434.546,0,357,8,0
434.662,1,366,9,0
434.813,0,358,8,0
435.811,0,359,7,0
437.289,1,367,8,0
441.134,0,360,7,0
441.462,0,361,6,0
442.078,0,362,5,0
442.693,0,363,4,0
442.856,1,368,5,0
443.804,1,369,6,0
445.677,1,370,7,0
446.189,0,364,6,0
446.765,0,365,5,0
447.206,1,371,6,0
447.232,1,372,7,0
447.33,0,366,6,0
447.495,1,373,7,0
447.67,1,374,8,0
447.721,1,375,9,0
448.229,0,367,8,0
448.586,0,368,7,0
448.844,1,376,8,0
449.831,1,377,9,0
450.37,1,378,10,0
450.529,0,369,9,0
450.932,0,370,8,0
451.787,0,371,7,0
452.403,1,379,8,0
452.465,1,380,9,0
452.88,0,372,8,0
453.656,1,381,9,0
454.099,0,373,8,0
455.66,1,382,9,0
456.613,0,374,8,0
456.788,0,375,7,0
456.866,0,376,6,0
457.628,0,377,5,0
458.54,1,383,6,0
458.893,0,378,5,0
459.512,0,379,4,0
460.013,0,380,3,0
461.368,0,381,2,0
462.854,1,384,3,0
462.951,1,385,4,0
462.956,1,386,5,0
464.068,1,387,6,0
464.881,0,382,5,0
465.763,0,383,4,0
467.016,0,384,3,0
467.097,0,385,2,0
467.959,0,386,1,0
469.112,0,387,0,0
471.42,1,388,1,0
472.033,0,388,0,0
472.142,1,389,1,0
472.532,1,390,2,0
473.055,1,391,3,0
473.557,0,389,2,0
473.674,1,392,3,0
474.143,0,390,2,0
474.332,1,393,3,0
474.433,0,391,2,0
474.481,1,394,3,0
476.626,1,395,4,0
478.25,0,392,3,0
478.873,0,393,2,0
479.533,1,396,3,0
479.872,1,397,4,0
479.972,0,394,3,0
480.916,1,398,4,0
483.047,0,395,3,0
483.591,1,399,4,0
485.673,0,396,3,0
486.119,0,397,2,0
486.223,1,400,3,0
486.282,0,398,2,0
486.302,0,399,1,0
486.564,1,401,2,0
487.195,0,400,1,0
488.055,0,401,0,0
488.18,1,402,1,0
489.185,0,402,0,0
489.699,1,403,1,0
490.171,1,404,2,0
490.264,0,403,1,0
490.773,0,404,0,0
490.93,1,405,1,0
491.582,1,406,2,0
491.802,0,405,1,0
493.281,1,407,2,0
493.854,1,408,3,0
493.896,1,409,4,0
495.262,1,410,5,0
495.36,0,406,4,0
496.336,1,411,5,0
497.163,1,412,6,0
497.47,1,413,7,0
499.387,0,407,6,0
499.614,1,414,7,0
499.652,1,415,8,0
500.122,0,408,7,0
500.587,0,409,6,0
500.93,1,416,7,0
501.211,0,410,6,0
501.776,0,411,5,0
501.834,1,417,6,0
502.774,0,412,5,0
502.913,1,418,6,0
502.942,0,413,5,0
503.004,0,414,4,0
504.534,1,419,5,0
504.7,1,420,6,0
504.765,0,415,5,0
505.036,1,421,6,0
505.665,0,416,5,0
505.67,1,422,6,0
506.177,0,417,5,0
507.257,0,418,4,0
508.852,1,423,5,0
509.096,1,424,6,0
509.107,1,425,7,0
509.757,0,419,6,0
510.081,0,420,5,0
510.285,1,426,6,0
511.045,1,427,7,0
511.19,0,421,6,0
511.216,0,422,5,0
511.286,0,423,4,0
511.354,1,428,5,0
511.466,0,424,4,0
511.738,1,429,5,0
512.835,1,430,6,0
513.621,0,425,5,0
514.284,1,431,6,0
515.015,0,426,5,0
515.495,1,432,6,0
515.747,0,427,5,0
517.724,0,428,4,0
518.836,1,433,5,0
519.747,0,429,4,0
520.102,0,430,3,0
520.913,0,431,2,0
521.643,1,434,3,0
523.272,1,435,4,0
523.362,1,436,5,0
523.803,0,432,4,0
523.829,1,437,5,0
524.593,0,433,4,0
524.712,1,438,5,0
526.038,1,439,6,0
526.086,0,434,5,0
526.269,1,440,6,0
527.03,0,435,5,0
527.297,1,441,6,0
527.314,0,436,5,0
527.619,1,442,6,0
527.769,1,443,7,0
528.892,0,437,6,0
528.971,1,444,7,0
529.147,0,438,6,0
529.345,0,439,5,0
529.672,0,440,4,0
529.855,1,445,5,0
530.741,0,441,4,0
531.146,1,446,5,0
532.321,0,442,4,0
532.458,0,443,3,0
533.504,1,447,4,0
533.998,1,448,5,0
535.244,0,444,4,0
535.9,1,449,5,0
536.863,0,445,4,0
536.975,0,446,3,0
537.232,1,450,4,0
538.149,0,447,3,0
538.361,1,451,4,0
539.053,1,452,5,0
540.789,0,448,4,0
541.929,1,453,5,0
541.974,0,449,4,0
546.849,0,450,3,0
547.379,0,451,2,0
547.41,0,452,1,0
547.588,1,454,2,0
549.138,1,455,3,0
550.275,0,453,2,0
550.658,0,454,1,0
550.917,1,456,2,0
551.738,0,455,1,0
551.929,0,456,0,0
552.67,1,457,1,0
553.352,0,457,0,0
554.303,1,458,1,0
554.309,1,459,2,0
554.575,0,458,1,0
555.185,0,459,0,0
555.484,1,460,1,0
555.587,0,460,0,0
556.677,1,461,1,0
556.787,0,461,0,0
556.969,1,462,1,0
557.68,0,462,0,0
559.55,1,463,1,0
559.924,1,464,2,0
560.186,0,463,1,0
560.207,1,465,2,0
560.893,1,466,3,0
560.966,0,464,2,0
561.022,1,467,3,0
561.181,0,465,2,0
561.576,0,466,1,0
561.879,0,467,0,0
564.798,1,468,1,0
565.792,1,469,2,0
566.094,0,468,1,0
566.228,0,469,0,0
567.683,1,470,1,0
567.737,0,470,0,0
569.187,1,471,1,0
569.375,0,471,0,0
570.022,1,472,1,0
570.126,1,473,2,0
570.351,1,474,3,0
571.316,1,475,4,0
571.761,1,476,5,0
572.434,0,472,4,0
572.67,0,473,3,0
572.698,0,474,2,0
572.771,1,477,3,0
572.991,0,475,2,0
573.266,0,476,1,0
573.391,0,477,0,0
573.83,1,478,1,0
574.029,1,479,2,0
574.242,0,478,1,0
574.341,1,480,2,0
575.244,0,479,1,0
575.282,1,481,2,0
575.749,1,482,3,0
575.803,1,483,4,0
575.817,1,484,5,0
576.93,0,480,4,0
577.538,0,481,3,0
577.688,1,485,4,0
578.088,1,486,5,0
578.619,0,482,4,0
579.367,1,487,5,0
579.465,0,483,4,0
579.755,0,484,3,0
581.128,0,485,2,0
581.177,1,488,3,0
581.787,0,486,2,0
582.119,0,487,1,0
582.496,0,488,0,0
583.731,1,489,1,0
584.73,1,490,2,0
585.045,0,489,1,0
585.139,1,491,2,0
586.076,0,490,1,0
586.347,0,491,0,0
586.43,1,492,1,0
586.451,0,492,0,0
588.547,1,493,1,0
588.876,0,493,0,0
589.176,1,494,1,0
589.576,0,494,0,0
591.874,1,495,1,0
593.826,1,496,2,0
594.355,1,497,3,0
594.515,0,495,2,0
594.777,1,498,3,0
596.755,0,496,2,0
596.971,0,497,1,0
597.124,0,498,0,0
597.59,1,499,1,0
598.321,1,500,2,0
598.938,1,501,3,0
599.797,1,502,4,0
600.111,0,499,3,0
600.124,1,503,4,0
601.869,1,504,5,0
602.416,1,505,6,0
602.596,1,506,7,0
604.77,0,500,6,0
606.111,1,507,7,0
606.317,1,508,8,0
606.644,1,509,9,0
608.072,1,510,10,0
608.151,1,511,11,0
608.242,1,512,12,0
608.307,0,501,11,0
608.699,0,502,10,0
609.159,1,513,11,0
609.263,0,503,10,0
609.415,1,514,11,0
609.567,0,504,10,0
610.225,1,515,11,0
610.267,0,505,10,0
610.354,0,506,9,0
611.911,0,507,8,0
612.395,0,508,7,0
612.406,0,509,6,0
612.415,1,516,7,0
614.576,1,517,8,0
614.895,0,510,7,0
614.998,0,511,6,0
615.989,0,512,5,0
616.461,0,513,4,0
617.053,0,514,3,0
618.289,1,518,4,0
618.364,1,519,5,0
618.817,0,515,4,0
620.048,1,520,5,0
620.199,1,521,6,0
620.788,1,522,7,0
621.055,0,516,6,0
622.18,0,517,5,0
622.548,1,523,6,0
623.365,0,518,5,0
624.265,1,524,6,0
624.321,1,525,7,0
624.509,0,519,6,0
625.216,1,526,7,0
625.54,1,527,8,0
625.628,1,528,9,0
625.693,1,529,10,0
625.704,1,530,11,0
625.994,0,520,10,0
628.19,0,521,9,0
628.593,0,522,8,0
628.8,0,523,7,0
629.004,0,524,6,0
629.256,0,525,5,0
629.281,1,531,6,0
629.297,1,532,7,0
629.323,1,533,8,0
629.911,1,534,9,0
630.514,1,535,10,0
630.867,1,536,11,0
630.869,0,526,10,0
631.634,1,537,11,0
633.686,1,538,12,0
633.809,0,527,11,0
633.871,1,539,12,0
637.219,1,540,13,0
637.621,0,528,12,0
637.711,1,541,13,0
638.429,1,542,14,0
638.47,0,529,13,0
639.01,1,543,14,0
639.994,1,544,15,0
640.317,1,545,16,0
641.042,0,530,15,0
641.217,0,531,14,0
641.515,0,532,13,0
641.868,0,533,12,0
641.905,1,546,13,0
642.301,1,547,14,0
642.871,1,548,15,0
643.057,1,549,16,0
643.33,1,550,17,0
644.593,0,534,16,0
648.184,1,551,17,0
648.246,0,535,16,0
648.74,0,536,15,0
648.969,1,552,16,0
649.378,0,537,15,0
649.461,1,553,16,0
650.103,0,538,15,0
651.224,1,554,16,0
652.53,0,539,15,0
652.808,0,540,14,0
653.331,1,555,15,0
653.355,1,556,16,0
654.629,1,557,17,0
654.915,0,541,16,0
655.143,1,558,17,0
655.528,1,559,18,0
655.549,1,560,19,0
655.566,0,542,18,0
656.515,1,561,19,0
658.351,1,562,20,0
658.712,0,543,19,0
658.773,0,544,18,0
658.86,1,563,19,0
660.345,0,545,18,0
660.36,1,564,19,0
661.093,0,546,18,0
661.638,0,547,17,0
662.813,1,565,18,0
663.145,0,548,17,0
663.764,0,549,16,0
663.919,0,550,15,0
664.071,0,551,14,0
664.374,1,566,15,0
667.027,0,552,14,0
668.151,0,553,13,0
668.603,0,554,12,0
669.366,0,555,11,0
669.676,0,556,10,0
669.846,1,567,11,0
670.65,0,557,10,0
672.212,1,568,11,0
672.386,0,558,10,0
672.617,1,569,11,0
672.927,0,559,10,0
673.109,1,570,11,0
673.94,0,560,10,0
674.556,1,571,11,0
675.82,0,561,10,0
675.959,1,572,11,0
676.165,1,573,12,0
676.197,0,562,11,0
676.743,1,574,12,0
676.965,1,575,13,0
677.406,0,563,12,0
677.807,0,564,11,0
677.896,0,565,10,0
678.267,0,566,9,0
678.332,1,576,10,0
678.439,0,567,9,0
678.816,0,568,8,0
679.046,0,569,7,0
680.846,0,570,6,0
680.885,1,577,7,0
683.75,0,571,6,0
685.052,0,572,5,0
687.176,0,573,4,0
