time,type,number,queueLength,totalPacketLoss
123.436,0,109,1,0
123.555,1,111,2,0
123.574,1,112,3,0
123.654,0,110,2,0
124.505,0,111,1,0
124.616,0,112,0,0
125.541,1,113,1,0
125.682,1,114,2,0
125.963,1,115,3,0
126.861,0,113,2,0
128.205,0,114,1,0
129.232,1,116,2,0
129.927,0,115,1,0
130.216,0,116,0,0
131.176,1,117,1,0
131.473,0,117,0,0
131.635,1,118,1,0
132.126,0,118,0,0
132.467,1,119,1,0
132.777,0,119,0,0
133.037,1,120,1,0
133.09,1,121,2,0
133.477,1,122,3,0
134.034,1,123,4,0
134.946,1,124,5,0
135.084,0,120,4,0
135.36,1,125,5,0
136.077,1,126,6,0
136.183,1,127,7,0
136.521,1,128,8,0
136.814,0,121,7,0
139.287,1,129,8,0
139.736,1,130,9,0
140.65,0,122,8,0
140.926,0,123,7,0
141.393,0,124,6,0
142.318,1,131,7,0
142.788,0,125,6,0
142.998,1,132,7,0
143.609,1,133,8,0
144.536,1,134,9,0
145.097,0,126,8,0
145.534,0,127,7,0
146.099,0,128,6,0
146.296,0,129,5,0
146.538,0,130,4,0
146.95,0,131,3,0
147.555,0,132,2,0
147.601,0,133,1,0
148.449,1,135,2,0
148.521,1,136,3,0
148.753,0,134,2,0
149.133,0,135,1,0
149.411,1,137,2,0
149.445,0,136,1,0
149.51,0,137,0,0
150.183,1,138,1,0
151.636,1,139,2,0
153.46,1,140,3,0
153.531,0,138,2,0
153.643,1,141,3,0
154.751,0,139,2,0
155.098,1,142,3,0
156.167,1,143,4,0
156.6,0,140,3,0
157.253,0,141,2,0
158.002,0,142,1,0
158.032,0,143,0,0
159.624,1,144,1,0
159.678,1,145,2,0
160.559,0,144,1,0
160.676,1,146,2,0
161.074,0,145,1,0
161.475,0,146,0,0
163.284,1,147,1,0
163.657,0,147,0,0
165.43,1,148,1,0
165.545,1,149,2,0
166.007,1,150,3,0
166.578,1,151,4,0
166.754,0,148,3,0
167.748,0,149,2,0
169.531,0,150,1,0
170.106,0,151,0,0
171.257,1,152,1,0
171.325,1,153,2,0
171.486,1,154,3,0
172.358,1,155,4,0
172.823,0,152,3,0
174.985,0,153,2,0
175.32,1,156,3,0
175.48,0,154,2,0
175.915,1,157,3,0
176.291,1,158,4,0
176.417,1,159,5,0
177.373,1,160,6,0
177.423,0,155,5,0
177.577,0,156,4,0
179.043,1,161,5,0
179.231,0,157,4,0
179.758,0,158,3,0
180.403,0,159,2,0
180.575,1,162,3,0
180.825,0,160,2,0
180.849,0,161,1,0
181.174,1,163,2,0
181.595,0,162,1,0
181.865,0,163,0,0
182.58,1,164,1,0
183.767,0,164,0,0
184.262,1,165,1,0
184.406,1,166,2,0
184.92,1,167,3,0
185.701,0,165,2,0
187.153,0,166,1,0
187.495,0,167,0,0
187.848,1,168,1,0
188.469,1,169,2,0
188.511,1,170,3,0
189.525,1,171,4,0
189.542,1,172,5,0
191.113,1,173,6,0
191.269,1,174,7,0
191.79,1,175,8,0
191.962,0,168,7,0
192.063,1,176,8,0
192.318,1,177,9,0
192.824,0,169,8,0
194.037,1,178,9,0
194.204,0,170,8,0
194.54,0,171,7,0
194.712,1,179,8,0
195.376,1,180,9,0
196.438,0,172,8,0
197.001,0,173,7,0
197.378,1,181,8,0
197.403,0,174,7,0
197.689,0,175,6,0
198.13,0,176,5,0
198.671,0,177,4,0
199.359,0,178,3,0
200.726,1,182,4,0
201.524,0,179,3,0
201.647,1,183,4,0
202.681,0,180,3,0
202.882,0,181,2,0
203.721,0,182,1,0
203.751,0,183,0,0
205.463,1,184,1,0
205.654,1,185,2,0
205.691,0,184,1,0
205.919,0,185,0,0
206.535,1,186,1,0
206.612,1,187,2,0
206.772,0,186,1,0
206.851,1,188,2,0
208.543,1,189,3,0
208.944,1,190,4,0
209.09,0,187,3,0
209.553,1,191,4,0
211.325,1,192,5,0
211.87,1,193,6,0
212.093,1,194,7,0
212.376,1,195,8,0
213.649,0,188,7,0
213.862,1,196,8,0
214.411,0,189,7,0
214.637,0,190,6,0
215.076,1,197,7,0
215.27,0,191,6,0
215.372,0,192,5,0
215.696,0,193,4,0
215.714,0,194,3,0
216.005,1,198,4,0
216.544,0,195,3,0
216.617,0,196,2,0
216.681,0,197,1,0
216.973,0,198,0,0
218.427,1,199,1,0
218.793,0,199,0,0
220.948,1,200,1,0
221.092,0,200,0,0
224.227,1,201,1,0
224.317,1,202,2,0
224.788,0,201,1,0
225.375,0,202,0,0
226.019,1,203,1,0
226.565,0,203,0,0
227.363,1,204,1,0
227.513,1,205,2,0
227.574,0,204,1,0
227.83,1,206,2,0
227.994,1,207,3,0
228.427,1,208,4,0
228.647,0,205,3,0
228.66,0,206,2,0
230.348,1,209,3,0
230.873,1,210,4,0
231.234,0,207,3,0
231.537,0,208,2,0
231.842,1,211,3,0
232.071,0,209,2,0
233.135,1,212,3,0
233.344,1,213,4,0
233.472,0,210,3,0
233.498,1,214,4,0
233.645,0,211,3,0
233.883,1,215,4,0
234.246,1,216,5,0
235.542,1,217,6,0
235.594,0,212,5,0
237.281,0,213,4,0
237.331,0,214,3,0
237.407,0,215,2,0
237.57,1,218,3,0
237.971,0,216,2,0
238.136,0,217,1,0
238.667,0,218,0,0
239.11,1,219,1,0
239.218,0,219,0,0
240.701,1,220,1,0
241.727,0,220,0,0
242.176,1,221,1,0
242.293,1,222,2,0
242.969,0,221,1,0
243.721,0,222,0,0
243.757,1,223,1,0
244.132,1,224,2,0
244.49,0,223,1,0
245.046,0,224,0,0
247.403,1,225,1,0
248.085,0,225,0,0
248.75,1,226,1,0
249.049,0,226,0,0
250.603,1,227,1,0
250.604,1,228,2,0
250.73,1,229,3,0
251.085,1,230,4,0
252.727,0,227,3,0
253.175,0,228,2,0
254.872,0,229,1,0
255.679,1,231,2,0
256.058,1,232,3,0
256.805,0,230,2,0
256.814,0,231,1,0
256.88,0,232,0,0
264.473,1,233,1,0
265.75,1,234,2,0
266.149,1,235,3,0
267.585,1,236,4,0
267.906,0,233,3,0
268.953,0,234,2,0
270.443,1,237,3,0
271.296,1,238,4,0
271.427,0,235,3,0
271.693,0,236,2,0
272.235,0,237,1,0
273.107,0,238,0,0
275.472,1,239,1,0
275.72,1,240,2,0
276.987,0,239,1,0
277.126,0,240,0,0
278.29,1,241,1,0
279.899,1,242,2,0
280.625,1,243,3,0
280.931,0,241,2,0
280.943,0,242,1,0
281.427,0,243,0,0
281.528,1,244,1,0
282.002,0,244,0,0
282.977,1,245,1,0
283.762,0,245,0,0
284.234,1,246,1,0
284.604,1,247,2,0
284.73,1,248,3,0
285.125,1,249,4,0
285.125,0,246,3,0
285.961,1,250,4,0
286.6,1,251,5,0
287.479,0,247,4,0
287.744,0,248,3,0
288.478,0,249,2,0
289.436,0,250,1,0
289.645,0,251,0,0
289.955,1,252,1,0
290.732,1,253,2,0
290.926,1,254,3,0
291.787,1,255,4,0
292.025,1,256,5,0
292.343,1,257,6,0
292.789,1,258,7,0
292.97,1,259,8,0
293.83,0,252,7,0
294.053,1,260,8,0
294.068,0,253,7,0
295.041,0,254,6,0
295.281,0,255,5,0
295.923,0,256,4,0
297.252,1,261,5,0
297.773,0,257,4,0
297.899,1,262,5,0
297.899,0,258,4,0
299.021,0,259,3,0
299.201,0,260,2,0
300.711,1,263,3,0
300.715,0,261,2,0
300.92,0,262,1,0
302.084,1,264,2,0
302.354,1,265,3,0
302.419,0,263,2,0
302.68,1,266,3,0
303.506,0,264,2,0
306.274,1,267,3,0
306.355,0,265,2,0
307.951,0,266,1,0
308.107,1,268,2,0
309.445,1,269,3,0
310.658,1,270,4,0
310.798,1,271,5,0
312.098,1,272,6,0
312.253,0,267,5,0
312.286,1,273,6,0
312.65,0,268,5,0
312.952,1,274,6,0
313.18,0,269,5,0
313.739,1,275,6,0
315.053,0,270,5,0
315.675,1,276,6,0
315.894,0,271,5,0
316.045,0,272,4,0
316.984,1,277,5,0
317.925,0,273,4,0
318.157,0,274,3,0
318.227,0,275,2,0
318.326,1,278,3,0
318.805,0,276,2,0
319.163,0,277,1,0
319.577,0,278,0,0
320.397,1,279,1,0
320.434,1,280,2,0
321.168,0,279,1,0
321.368,0,280,0,0
322.778,1,281,1,0
324.223,1,282,2,0
324.877,1,283,3,0
326.124,0,281,2,0
326.661,1,284,3,0
326.808,0,282,2,0
326.975,0,283,1,0
327.108,1,285,2,0
327.77,1,286,3,0
328.249,1,287,4,0
328.311,0,284,3,0
329.32,1,288,4,0
329.484,1,289,5,0
331.064,1,290,6,0
331.115,1,291,7,0
331.15,0,285,6,0
332.097,1,292,7,0
332.108,1,293,8,0
332.221,0,286,7,0
332.631,0,287,6,0
334.493,0,288,5,0
335.439,0,289,4,0
335.452,0,290,3,0
335.891,1,294,4,0
336.687,1,295,5,0
336.983,1,296,6,0
337.364,0,291,5,0
338.217,1,297,6,0
338.286,1,298,7,0
338.984,0,292,6,0
339.874,1,299,7,0
339.948,0,293,6,0
340.397,0,294,5,0
340.625,0,295,4,0
341.019,0,296,3,0
341.831,0,297,2,0
342.737,1,300,3,0
343.906,0,298,2,0
343.937,0,299,1,0
344.457,0,300,0,0
346.025,1,301,1,0
347.23,1,302,2,0
347.481,0,301,1,0
349.061,0,302,0,0
349.485,1,303,1,0
350.326,0,303,0,0
350.467,1,304,1,0
351.324,0,304,0,0
351.413,1,305,1,0
351.743,0,305,0,0
352.949,1,306,1,0
353.493,0,306,0,0
354.745,1,307,1,0
