time,type,number,queueLength,totalPacketLength
0.561057,1,1,1,0
1.04542,1,2,2,0
1.7028,1,3,2,1
2.12918,1,4,2,2
2.39668,0,1,1,2
2.41238,0,2,0,2
4.54621,1,5,1,2
4.7391,1,6,2,2
5.27693,1,7,2,3
5.4235,0,5,1,3
5.48416,0,6,0,3
6.58185,1,8,1,3
6.78028,1,9,2,3
6.97277,1,10,2,4
7.81896,1,11,2,5
8.84863,1,12,2,6
8.88298,0,8,1,6
9.19765,0,9,0,6
9.81968,1,13,1,6
10.2056,1,14,2,6
10.3148,0,13,1,6
10.6693,0,14,0,6
11.7125,1,15,1,6
11.7911,0,15,0,6
12.2894,1,16,1,6
14.2369,0,16,0,6
15.4524,1,17,1,6
16.5396,0,17,0,6
17.5345,1,18,1,6
17.5373,0,18,0,6
18.2241,1,19,1,6
18.9847,0,19,0,6
19.947,1,20,1,6
20.2557,0,20,0,6
24.4582,1,21,1,6
24.8246,0,21,0,6
25.4787,1,22,1,6
25.744,1,23,2,6
26.417,0,22,1,6
26.7803,0,23,0,6
28.1558,1,24,1,6
28.3205,0,24,0,6
28.6136,1,25,1,6
29.1037,0,25,0,6
29.7599,1,26,1,6
30.7881,1,27,2,6
31.1606,0,26,1,6
31.6309,1,28,2,6
31.7756,0,27,1,6
32.1718,0,28,0,6
32.8053,1,29,1,6
33.3152,1,30,2,6
35.731,0,29,1,6
35.7384,0,30,0,6
36.5157,1,31,1,6
36.8696,1,32,2,6
36.897,1,33,2,7
37.2426,0,31,1,7
37.472,0,32,0,7
37.8929,1,34,1,7
37.9609,1,35,2,7
38.2968,1,36,2,8
38.6976,1,37,2,9
39.9942,0,34,1,9
40.6837,0,35,0,9
41.1653,1,38,1,9
41.5402,1,39,2,9
42.4033,0,38,1,9
43.5289,0,39,0,9
43.7646,1,40,1,9
44.378,0,40,0,9
47.331,1,41,1,9
47.856,1,42,2,9
48.1445,1,43,2,10
48.6309,1,44,2,11
48.8213,0,41,1,11
49.0277,1,45,2,11
49.9292,0,42,1,11
50.438,1,46,2,11
50.7638,0,45,1,11
51.2591,0,46,0,11
52.3713,1,47,1,11
54.0792,0,47,0,11
54.4357,1,48,1,11
54.6347,0,48,0,11
57.6264,1,49,1,11
58.1796,0,49,0,11
58.4435,1,50,1,11
58.5114,0,50,0,11
61.1631,1,51,1,11
62.7552,1,52,2,11
63.3052,0,51,1,11
63.3208,1,53,2,11
64.4708,0,52,1,11
64.9136,1,54,2,11
64.99,0,53,1,11
65.0623,1,55,2,11
65.3419,1,56,2,12
65.6528,0,54,1,12
66.4054,0,55,0,12
67.6358,1,57,1,12
67.6372,0,57,0,12
69.8245,1,58,1,12
69.8433,0,58,0,12
71.6987,1,59,1,12
71.9769,0,59,0,12
72.1184,1,60,1,12
75.1651,1,61,2,12
75.4919,0,60,1,12
76.1694,0,61,0,12
77.007,1,62,1,12
77.2557,0,62,0,12
77.9613,1,63,1,12
78.3024,0,63,0,12
78.3916,1,64,1,12
78.6039,1,65,2,12
78.606,1,66,2,13
78.6569,1,67,2,14
78.6945,0,64,1,14
78.9635,1,68,2,14
79.2314,0,65,1,14
79.4822,0,68,0,14
80.3073,1,69,1,14
80.3844,1,70,2,14
80.9392,1,71,2,15
81.0083,0,69,1,15
81.2544,0,70,0,15
81.6647,1,72,1,15
81.9125,0,72,0,15
84.4195,1,73,1,15
84.6574,1,74,2,15
84.8506,0,73,1,15
84.921,1,75,2,15
84.9822,1,76,2,16
85.8549,0,74,1,16
85.8861,0,75,0,16
86.6819,1,77,1,16
86.8976,1,78,2,16
87.2691,0,77,1,16
89.6731,0,78,0,16
89.8875,1,79,1,16
90.5277,0,79,0,16
92.1689,1,80,1,16
93.3583,0,80,0,16
95.1267,1,81,1,16
95.6916,1,82,2,16
95.7338,0,81,1,16
96.9165,0,82,0,16
98.178,1,83,1,16
99.6735,1,84,2,16
100.003,0,83,1,16
100.844,1,85,2,16
101.136,0,84,1,16
101.455,0,85,0,16
101.801,1,86,1,16
103.006,1,87,2,16
103.06,1,88,2,17
103.578,1,89,2,18
104.54,0,86,1,18
104.648,1,90,2,18
104.701,0,87,1,18
105.174,1,91,2,18
105.203,1,92,2,19
105.735,0,90,1,19
105.815,0,91,0,19
107.249,1,93,1,19
107.578,1,94,2,19
108.606,0,93,1,19
109.081,0,94,0,19
110.157,1,95,1,19
110.421,1,96,2,19
110.542,0,95,1,19
110.831,0,96,0,19
111.583,1,97,1,19
111.842,0,97,0,19
111.904,1,98,1,19
112.067,1,99,2,19
112.417,1,100,2,20
113.301,1,101,2,21
113.736,1,102,2,22
114.772,0,98,1,22
115.124,0,99,0,22
115.962,1,103,1,22
117.101,0,103,0,22
117.951,1,104,1,22
119.117,1,105,2,22
119.201,1,106,2,23
120.041,0,104,1,23
120.334,0,105,0,23
121.743,1,107,1,23
122.688,0,107,0,23
123.793,1,108,1,23
124.311,1,109,2,23
125.577,0,108,1,23
125.692,0,109,0,23
125.883,1,110,1,23
126.793,1,111,2,23
127.785,0,110,1,23
128.206,0,111,0,23
128.959,1,112,1,23
129.429,1,113,2,23
130.136,0,112,1,23
131.919,1,114,2,23
132.063,1,115,2,24
133.323,0,113,1,24
133.379,0,114,0,24
136.499,1,116,1,24
136.542,1,117,2,24
137.067,1,118,2,25
137.453,0,116,1,25
137.784,0,117,0,25
137.895,1,119,1,25
138.718,0,119,0,25
138.934,1,120,1,25
139.591,1,121,2,25
139.622,1,122,2,26
140.331,1,123,2,27
140.629,0,120,1,27
140.704,1,124,2,27
140.946,1,125,2,28
140.965,1,126,2,29
140.975,0,121,1,29
141.827,0,124,0,29
142.931,1,127,1,29
143.042,0,127,0,29
144.399,1,128,1,29
144.525,0,128,0,29
144.68,1,129,1,29
146.173,1,130,2,29
147.622,0,129,1,29
148.087,1,131,2,29
148.408,1,132,2,30
148.737,1,133,2,31
149.196,1,134,2,32
149.372,0,130,1,32
149.742,1,135,2,32
150.086,1,136,2,33
150.121,0,131,1,33
150.656,1,137,2,33
150.708,1,138,2,34
151.096,1,139,2,35
151.653,1,140,2,36
152.168,0,135,1,36
152.541,0,137,0,36
152.565,1,141,1,36
153.282,1,142,2,36
153.388,1,143,2,37
153.726,1,144,2,38
154.294,0,141,1,38
156.492,1,145,2,38
156.941,1,146,2,39
158.131,0,142,1,39
158.406,0,145,0,39
159.522,1,147,1,39
159.989,0,147,0,39
161.073,1,148,1,39
161.685,0,148,0,39
163.638,1,149,1,39
164.188,0,149,0,39
164.566,1,150,1,39
165.051,1,151,2,39
165.678,1,152,2,40
165.898,1,153,2,41
166.167,1,154,2,42
166.624,1,155,2,43
167.297,1,156,2,44
167.348,1,157,2,45
168.088,0,150,1,45
168.152,0,151,0,45
168.628,1,158,1,45
169.05,1,159,2,45
